conversation_id,split,article_id,customer_query,intent,category,ideal_response,key_action_points,article_url,scraped_at,response_length,has_steps
166e04974904,train,article_0166,Error: Can't connect to Grammarly or Something went wrong,technical_support,Grammarly for Windows and Mac,"Important:
Sometimes, this issue can be solved by simply restarting your computer. Make sure that you do so before proceeding to the steps below.
The error message “Something went wrong” or a gray Grammarly widget is usually caused by restrictions within your network, VPN, proxy, or firewall settings.
To resolve this, you need to ensure that your network, firewall, VPN, or proxy allows access to the following internet addresses:
*.grammarly.com (ports 80 and 443)
*.grammarly.io (ports 80 and 443)
*.grammarly.net (ports 80 and 443)
You or your IT administrator may need to add exception rules for the above addresses to your network, firewall, VPN, or proxy settings.
Additionally, Grammarly apps use WebSockets to communicate with our servers, with the corresponding ports of 80 and 443. Besides allowing the URLs mentioned above, you need to ensure that your network, VPN, firewall, or proxy fully supports the WebSocket protocol. You can read more about WebSocket support in this article:
WebSockets Support Q&A for System Administrators
.
If this doesn’t help, we recommend the following troubleshooting steps, depending on your operating system (Mac or Windows):
Windows
Try switching off the
SmartScreen
for Microsoft Edge
: open
Windows Security
, select
App & Browser
control
>
Reputation-based protection
settings
, and turn off
SmartScreen for Microsoft Edge
. This feature may be blocking the pop-up necessary for the Grammarly assistant window to function correctly:
Reinstall Microsoft Edge WebView from the following page:
Microsoft Edge Developer | Microsoft Edge WebView2
. Download the Evergreen Bootstrapper version by scrolling down the page and selecting
Download
under
Evergreen Bootstrapper
. Then, run the downloaded file with administrator rights by double-clicking it and selecting
Run as administrator
.
If you experience this issue specifically in Microsoft Word, it may be caused by Copilot. If you use a personal or family Microsoft Office account, please try turning that feature off: Go to
File
>
Options
>
Copilot
and uncheck the
Enable Copilot
box; select
OK
, and then restart Microsoft Word.
If none of the above suggestions help, please submit a support request here:
Contact Support
. To expedite the resolution of the issue, we recommend that you retrieve and attach the Grammarly for Windows logs and a video recorded while retrieving them.
Mac
The root cause of this issue may depend on the app where you’re using Grammarly.
If the issue occurs in
Microsoft Word
:
Possible root cause:
Copilot is enabled in Microsoft Word. If you can turn off Copilot while using Grammarly, it should resolve the issue.
How to troubleshoot:
If you use a family or personal Microsoft 365 subscription, check out this Microsoft Support article:
How to turn off Copilot in Microsoft 365 Family and Personal subscriptions
.
If your Microsoft 365 license is provided by your organization, you can reach out to your IT administrator and refer them to these articles:
Manage Microsoft 365 Copilot settings in the Microsoft 365 admin center
,
Manage Copilot agents in Integrated Apps - Microsoft 365 admin
.
Possible root cause:
Track Changes mode is enabled in the document with markup and comments.
How to troubleshoot:
Switch to the
Original
setting in the
Review
tab:
Possible root cause:
The document contains over 200 pages.
How to troubleshoot:
Try splitting the document into 100-page sections to check if the issue persists.
If the issue occurs in
Microsoft Teams
:
Possible root cause:
The error may occur after removing an image from the text.
How to troubleshoot:
Select the entire text and perform the cut-and-paste action.",[],https://support.grammarly.com/hc/en-us/articles/5806184637325-Error-Can-t-connect-to-Grammarly-or-Something-went-wrong,2025-08-11T20:35:28.823307+00:00,3657,False
b69549f901e1,train,article_0026,Error: Can't open Grammarly,technical_support,Grammarly for Windows and Mac,"If you use Windows, Grammarly may not work if you don’t have the WebView package installed. To resolve this issue, please follow these steps:
Step 1: Reinstall Grammarly for Windows
Right-click the Grammarly icon in the system tray and select
Quit Grammarly
:
Then, right-click the
Start
button in the lower-left corner of the screen and select
Apps and Features
from the pop-up menu. Click
Grammarly for Windows
and select
Uninstall
.
If you use Windows 11, right-click the
Start
button and select
Installed Apps
. Then, find
Grammarly for Windows
, click the three dots (…), and select
Uninstall
:
Download the installation file by following this link:
Grammarly for Windows
Once the file is downloaded, click
Run
in the pop-up menu at the bottom of the screen. Alternatively, locate the file on your computer and double-click on it.
When the installation is complete, click
Log in to existing account
and enter your login credentials.
Step 2: Install WebView
If that didn't help, you can install the WebView package by following this link:
Microsoft Edge WebView2
.
Step 3: Ask your admin to allow WebView to run
If you can't install the WebView package, contact your administrator and ask them to allow WebView to run. You can share this resource with your admin as well:
Microsoft Edge WebView2
.","[""Step 1: Reinstall Grammarly for Windows"", ""Step 2: Install WebView"", ""Step 3: Ask your admin to allow WebView to run""]",https://support.grammarly.com/hc/en-us/articles/24827424872333-Error-Can-t-open-Grammarly,2025-08-11T20:30:04.761200+00:00,1301,True
111af03f10aa,train,article_0076,Deactivate SSO,security_config,SAML Single Sign-On,"Included in:
Grammarly Pro, Business, Enterprise, and Grammarly for Education plans
Managed by:
Admins and members with designated custom roles
Go to the
Authentication
page.
Click
Modify Details
.
Click
Deactivate SSO
.
Once SSO is deactivated, all team members on your account will have to log in with their email address and password. If they did not have a password before or if they forgot it, they can reset it at
www.grammarly.com/resetpassword
. Each team member will also receive an email notification informing them that SSO has been turned off, with instructions on how to reset their password.
Note:
All current team members will remain linked to your account. You can see the list of all active members on the
Members
page.","[""Go to the"", ""Click"", ""Click""]",https://support.grammarly.com/hc/en-us/articles/360049254711-Deactivate-SSO,2025-08-11T20:32:00.053417+00:00,736,True
8a1ddcc3b1ed,train,article_0446,How to install Grammarly for iPhone,setup_guide,Grammarly for iPhone,"Before you download and install this app, make sure Grammarly is compatible with your mobile device. We support all iOS devices running iOS 14 or newer.
Note:
If you are an iPad user, check
this article
for more information on Grammarly for iPad.
To begin the installation, click
this link
or open the App Store on your iOS device and search for “Grammarly.”
Then, click
Install
next to the Grammarly listing and download the app on your device. Keep in mind that this app allows you to use Grammarly as an editor, as a keyboard, and as a browser extension in Safari.
Once the app is downloaded and installed, click
Get Started
. If you already have a Grammarly account, tap
Log in to existing account
and enter your login credentials. If not, tap
Continue with email
to create an account.
Note:
If you used Google or Apple to create your Grammarly account, or you need to create a new account using one of those sign-in methods, tap the corresponding option. If you already have a Grammarly account linked to Google or Apple, but you would prefer to sign in with an email address and password, please request a password reset email
here
.
If you created your Grammarly account with Facebook, select
Log in to an existing account
and choose Facebook as the sign-in option.
Next, follow the on-screen instructions to finish setting up Grammarly.
For more information on how to check your documents using Grammarly for iPhone, check
this page
.
If you’d like to take advantage of the Grammarly Keyboard for iOS, visit
this page
for more information.
If you want to give Grammarly for Safari on iPhone a try, please check out
this article
.",[],https://support.grammarly.com/hc/en-us/articles/115000736292-How-to-install-Grammarly-for-iPhone,2025-08-11T20:46:42.620851+00:00,1637,False
9d63c79abc2b,train,article_0368,"Error: Sorry, your plan could not be changed at this time",technical_support,Manage Payments,"This error message may appear when you’re trying to adjust your subscription preferences in the following cases:
1. You purchased a subscription via the Apple App Store or Google Play Store and tried to apply a promotional offer or change your subscription.
The Apple App Store and Google Play Store manage the billing process on their side. As a result, promotional offers cannot be applied to those subscriptions, and attempts to change your plan via our website won’t be successful.
If you’d like to change your plan, follow
these steps
if you used the App Store or
these steps
if you used the Google Play Store.
If you’d like to benefit from future promotional offers, we suggest canceling your current subscription and, once it expires, purchasing a new one via our website once an offer becomes available.
2. You signed up for a free trial of Grammarly and tried to apply a promotional offer.
The option to apply a promo offer while your account is on a 7-day free trial is currently unavailable. However, once your free trial ends, you’ll be able to benefit from future promo offers.
If none of these cases apply, feel free to
contact our Support team
for assistance.","[""1. You purchased a subscription via the Apple App Store or Google Play Store and tried to apply a promotional offer or change your subscription."", ""2. You signed up for a free trial of Grammarly and tried to apply a promotional offer.""]",https://support.grammarly.com/hc/en-us/articles/9182515060877-Error-Sorry-your-plan-could-not-be-changed-at-this-time,2025-08-11T20:43:34.258381+00:00,1174,True
79729040fb31,train,article_0119,Configure SCIM provisioning with Microsoft Entra ID (Azure AD),setup_guide,SAML Single Sign-On,"Included in:
Grammarly Enterprise plans
Managed by:
Admins
This guide provides the steps required to configure SCIM provisioning for Grammarly in Microsoft Entra ID (Azure AD). For general information about SCIM provisioning, please refer to this article:
Configure SCIM provisioning
Topics covered in this article:
Features
Requirements
Step-by-Step Configuration Instructions
Provisioning of already assigned users
Monitoring Deployment
Resolve Issues
Features
The following provisioning features are supported in Microsoft Entra ID:
Create users in Grammarly
Remove users in Grammarly when they no longer require access
Keep user attributes synchronized between Microsoft Entra ID and Grammarly
Requirements
A Microsoft Entra ID tenant
A user account in Microsoft Entra ID with
permissions
to configure provisioning (e.g., Application Administrator, Cloud Application administrator, Application Owner, or Global Administrator)
A
Grammarly Enterprise
account with the
admin role
or a designated custom role
A Grammarly
app configured in Microsoft Entra ID
SAML Single Sign-On (SSO) enabled in Grammarly
Step-by-Step Configuration Instructions
Log in to your Grammarly account, go to the
Provisioning
page, and click
Configure
.
Click the
Activate SCIM
button.
Generate a SCIM token by clicking the
Create token
link.
Copy the SCIM token for future use, click
Got it
, and close the window.
Sign in to the
Microsoft Azure portal
. Select
Enterprise applications
, then select
All applications
.
In the applications list, select
Grammarly.
Select the
Provisioning
tab.
Set the
Provisioning Mode
to
Automatic
.
Under the
Admin Credentials
section, in the enter
Tenant URL
field enter
https://sso.grammarly.com/scim/v2
, and in the
Secret Token
field enter the token provided by Grammarly (see
Step 4
above). Click
Test Connection
to ensure Microsoft Entra ID can connect to Grammarly. If the connection fails, ensure your Grammarly account has Admin permissions and try again.
Click
Save
.
In the
Notification Email
field, enter the email address of a person or group who should receive the provisioning error notifications and select the box next to
Send an email notification when a failure occurs check
.
Under the
Mappings
section, select
Provision Microsoft Entra ID Users
. Alternatively, this option may appear as
Synchronize Azure Active Directory Users to Grammarly
.
Review the user attributes that are synchronized from Microsoft Entra ID to Grammarly in the
Attribute-Mapping
section. The attributes selected as
Matching
properties are used to match the user accounts in Grammarly for update operations. If you choose to change the
matching target attribute
, you will need to ensure that the Grammarly API supports filtering users based on that attribute. Select the
Save
button to commit any changes.
To configure scoping filters, refer to the following instructions provided in the
scoping filter tutorial
.
To enable the Microsoft Entra ID provisioning service for Grammarly, change the
Provisioning Status
to
On
in the
Settings
section.
Define the users and/or groups that you would like to provision to Grammarly by choosing the desired values in
Scope
in the Settings section.
When you are ready to provision, click
Save
.
This operation starts the initial synchronization cycle of all users and groups defined in
Scope
in the
Settings
section. The initial cycle takes longer to perform than subsequent cycles, which occur approximately every forty minutes as long as the Microsoft Entra ID provisioning service is running.
Provisioning of already assigned users
If you already have team members in your Grammarly subscription and turn on provisioning, a reconciliation process needs to happen. As part of this process, Microsoft Entra ID will notify Grammarly of all assigned users. Grammarly will reconcile users already invited via a provisioning request from the identity provider and their status will be reflected on the
Members
page
. To determine users who haven’t been reconciled with Microsoft Entra ID, access the
Provisioning
page
. If there are users who haven’t yet been provisioned by the identity provider, the
Provisioning
page will show a warning banner. Click the
Download report
link to download a CSV file containing the list of members that haven’t yet been provisioned. This report can be used to bulk delete outstanding users, if appropriate, or for manual processing.
Monitoring Deployment
Once you’ve configured provisioning, use the following resources to monitor your deployment:
Use the
provisioning logs
to determine which users have been provisioned successfully or unsuccessfully.
If the provisioning configuration seems to be in an unhealthy state, the application will go into quarantine. You can learn more about quarantine states in this article by Microsoft:
Application provisioning in quarantine status
Resolve Issues
When assigning users and groups to Grammarly, you must select a role other than
Default Access
. Users with the Default Access role are excluded from provisioning and will be marked as not effectively entitled in the provisioning logs. If the only role available on the application is the default access role, you can
update the application manifest
to add additional roles.
When users are deactivated in Microsoft Entra ID, they will be deactivated in Grammarly. Users will not be able to log in to the application, but their data will remain available as an “inactive user.” After 30 days, their accounts will be deleted completely.","[""Step-by-Step Configuration Instructions"", ""Step-by-Step Configuration Instructions"", ""Click the"", ""Step 4"", ""Click""]",https://support.grammarly.com/hc/en-us/articles/360058948112-Configure-SCIM-provisioning-with-Microsoft-Entra-ID-Azure-AD,2025-08-11T20:33:39.474044+00:00,5509,True
0f9175475f1f,train,article_0235,Set up SSO with JumpCloud,setup_guide,SAML Single Sign-On,"Requirements
•
JumpCloud Administrator account
•
Grammarly Business,
Grammarly Pro
, or a
Grammarly for Education
account with the
admin role
or a designated custom role
Log in to the
JumpCloud Admin Portal
.
Go to
USER AUTHENTICATION
→
SSO Applications
.
Click
+ Add New Application
.
In the
Search
field, type “Grammarly” and select it.
Click
Next
.
In the
Display Label
field, type your name for the application. Optionally, fill in the
Description
field, change the
User Portal Image
, and choose to hide or
Show in User Portal
.
Optionally, expand the
Advanced Settings
section to specify a value for the
SSO IdP URL
. If no value is entered, it will be set to
https://sso.jumpcloud.com/saml2/<applicationname>
.
Click
Save Application
.
Next, click
Configure Application
and select the
SSO
tab.
Add or change any attributes.
Click
Save
.
To enable SSO in your Grammarly account, you will need to enter your JumpCloud IdP Entity ID, JumpCloud IDP URL, and your certificate.
To download the certificate:
Find your Grammarly application in the
Configured Applications
list and click to open in.
Select the
SSO
tab and click on
IDP Certificate Valid
→
Download certificate
.
For more information, please review this article from JumpCloud:
Integrate with Grammarly
To enable SSO in your Grammarly account, follow these steps:
Log in to your Grammarly account, go to the
Authentication
page
, and click
Configure
.
In the
Identity Provider Issuer
field, enter your JumpCloud
IdP Entity ID
.
In the
SAML 2.0 Endpoint (HTTP)
field, enter your JumpCloud
IDP URL
.
Paste your certificate into the
Certificate
field.
Click
Test SSO
. If the test is successful, click
Activate SSO
.
If the SSO test has failed, please double-check the Grammarly app settings in your identity provider and the values you entered on the
Authentication
page. If you encounter any other issues, please search for more information on this page:
Resolve Issues","[""\u2022"", ""\u2022"", ""Go to"", ""Click"", ""Click"", ""Click"", ""Click"", ""Click""]",https://support.grammarly.com/hc/en-us/articles/30987878974989-Set-up-SSO-with-JumpCloud,2025-08-11T20:38:12.648619+00:00,1932,True
ecc6d1d86d17,train,article_0181,Configure SCIM provisioning,setup_guide,SAML Single Sign-On,"Included in:
Grammarly Enterprise plans
Managed by:
Admins
You can configure System for Cross-domain Identity Management (SCIM) for your Grammarly subscription, which automatically provisions members and groups when they are assigned Grammarly application access at your identity provider if you are using a supported identity provider. The identity providers currently supported for SCIM-based provisioning are Okta, Azure AD, and OneLogin.
In order to use SCIM-based provisioning, you must be already using SAML single sign-on (SSO) for user authentication. For more information, please see this article:
Set up SAML single sign-on
When using SAML SSO, by default your identity provider does not communicate with Grammarly to create members or groups when you assign or unassign users to the application. Grammarly performs just-in-time (JIT) provisioning of the member’s account the first time a member signs in via your identity provider. With the enablement of SCIM-based provisioning, your identity provider will notify Grammarly when users are assigned or unassigned application access.
When you assign application access, your identity provider will communicate with Grammarly to create a member account and send an onboarding email to the user. When you unassign application access, your identity provider will communicate with Grammarly to invalidate any authenticated sessions and deactivate the member’s account. The Grammarly account will be suspended within an hour of receiving the deletion request and permanently deleted within 30 days.
Supported identity providers
The following identity providers can provision or de-provision members of your Grammarly subscription using SCIM:
Okta
Microsoft Entra ID (Azure AD)
OneLogin
Rippling
Turning on provisioning with existing members
If you already have team members in your Grammarly subscription and you turn on provisioning, a reconciliation process needs to happen. As part of this process, your identity provider will notify Grammarly of all assigned users. Grammarly will reconcile users already invited via a provisioning request from the identity provider and their status will be reflected on the
Members
page. To determine users who haven’t been reconciled with the identity provider, access the
Provisioning
page. If there are users who haven’t yet been provisioned by the identity provider, the
Provisioning
page will show a warning banner. Click the
Download report
link to download a CSV file containing the list of members that haven’t yet been provisioned. This report can be used to bulk delete outstanding users, if appropriate, or for manual processing.
Note:
For some identity providers, the step to provision already assigned users may have to be triggered manually. See the identity-provider-specific steps for more information.
Turning on provisioning for groups
SCIM can be used to organize team members into groups for select identity providers. This allows you to sync your identity provider group configuration with your Grammarly subscription.
Note:
The SCIM group provisioning support is available for Grammarly Enterprise customers upon request. If you’re interested in enabling this feature, please contact your Customer Success Manager or
Grammarly Support team
.
Assigning a cost center to team members
SCIM can also be used to define the
CostCenter
attribute, which assigns the appropriate cost center to each team member. This information can then be viewed in the Grammarly admin panel.
Note:
The option to view the cost center in the admin panel is available upon request.",[],https://support.grammarly.com/hc/en-us/articles/4403054674829-Configure-SCIM-provisioning,2025-08-11T20:36:03.919791+00:00,3571,False
e0b2088991f4,train,article_0174,Manage the admin’s seat,general_inquiry,Manage Members & Permissions,"Admins are considered active subscription members and occupy seats.
As a workaround, you can transfer the admin role to another team member by following the steps outlined in this article:
Transfer the admin role to a team member
If you’re the owner of a Grammarly Pro plan, you can transfer plan ownership to another member and leave the team account. To do that, follow the steps from this article:
How to transfer Grammarly Pro plan ownership",[],https://support.grammarly.com/hc/en-us/articles/360040793112-Manage-the-admin-s-seat,2025-08-11T20:35:47.807212+00:00,445,False
89f8f95794d5,train,article_0287,I've lost access to my phone and can't log in,security_config,Account Security,"If you’ve lost access to your phone and have two-step verification enabled, please use one of your backup codes to regain access to your account and update your two-step verification settings. These codes were generated when you set up two-step verification.
If you don’t have access to any of your backup codes, please follow these steps to contact support:
Enter your username and password as usual.
On the two-step verification screen, click
Try Another Way
.
Click
Contact Support
.
Please enter an optional brief description and click
Submit
. Our Support team will get back to you within a few business days.","[""Click""]",https://support.grammarly.com/hc/en-us/articles/360059175892-I-ve-lost-access-to-my-phone-and-can-t-log-in,2025-08-11T20:40:18.668381+00:00,614,True
