chunk_id,title,category,text_preview
https://support.grammarly.com/hc/en-us/articles/360058725831-Configure-SCIM-provisioning-with-Okta#0,Configure SCIM provisioning with Okta,SAML Single Sign-On,"Title: Configure SCIM provisioning with Okta
Category: SAML Single Sign-On

Included in:
Grammarly Enterprise plans
Managed by:
Admins
This guide provides the steps required to configure SCIM provisio..."
https://support.grammarly.com/hc/en-us/articles/33154429182861-Does-Grammarly-charge-tax#1,Does Grammarly charge tax?,How to Upgrade,"Title: Does Grammarly charge tax?
Category: How to Upgrade

Tax and tax exemption
To ensure our services are legally compliant in each country, Grammarly may charge applicable taxes based on your bill..."
https://support.grammarly.com/hc/en-us/articles/19026306820109-Group-manager-permissions-for-team-members#2,Group manager permissions for team members,Manage Members & Permissions,"Title: Group manager permissions for team members
Category: Manage Members & Permissions

Included in:
Grammarly Enterprise plans
Managed by:
Admins and account managers
Team members with the admin an..."
https://support.grammarly.com/hc/en-us/articles/360041472171-How-do-I-uninstall-Grammarly-for-Microsoft-Word-on-Mac#3,How do I uninstall Grammarly for Microsoft Word on Mac?,Grammarly for Microsoft Word on Mac,"Title: How do I uninstall Grammarly for Microsoft Word on Mac?
Category: Grammarly for Microsoft Word on Mac

To uninstall Grammarly for Microsoft Word on your Mac, please see the steps below:
Open Mi..."
https://support.grammarly.com/hc/en-us/articles/7144890844685--Error-message-The-application-was-unable-to-start-correctly-0xc0000135#4,Error message: The application was unable to start correctly (0xc0000135),Grammarly for Windows and Mac,"Title: Error message: The application was unable to start correctly (0xc0000135)
Category: Grammarly for Windows and Mac

To troubleshoot the issue, follow these steps:
Download the Microsoft .NET Fra..."
https://support.grammarly.com/hc/en-us/articles/33433628591629-Introducing-Grammarly-s-Writing-Score-Canvas-Integration#5,Introducing Grammarly’s Writing Score Canvas Integration,Grammarly for Education,"Title: Introducing Grammarly’s Writing Score Canvas Integration
Category: Grammarly for Education

Included in:
Organization-wide Grammarly for Education plans
Managed by:
Admins
Available to:
Faculty..."
https://support.grammarly.com/hc/en-us/articles/115000089972-I-signed-up-with-the-wrong-email#6,I signed up with the wrong email,Update Your Account,"Title: I signed up with the wrong email
Category: Update Your Account

If you have access to the email address you used to sign up, you can update your Grammarly account information by following these..."
https://support.grammarly.com/hc/en-us/articles/4428237509645-Grammarly-for-Windows-and-Mac-doesn-t-appear-in-Microsoft-Word#7,Grammarly for Windows and Mac doesn’t appear in Microsoft Word,Grammarly for Windows and Mac,"Title: Grammarly for Windows and Mac doesn’t appear in Microsoft Word
Category: Grammarly for Windows and Mac

Windows
At this time, Grammarly for Windows supports the following versions of Microsoft ..."
https://support.grammarly.com/hc/en-us/articles/4410375670541-Customize-writing-preferences#8,Customize writing preferences,Team Features,"Title: Customize writing preferences
Category: Team Features

Included in:
Grammarly Pro, Business, and Enterprise plans
Managed by:
Admins, account managers, group managers, and members with designat..."
https://support.grammarly.com/hc/en-us/articles/360059175872-How-to-update-my-phone-number#9,How to update my phone number,Account Security,"Title: How to update my phone number
Category: Account Security

If you previously set up two-step verification on your Grammarly account and plan to change your phone number, we suggest updating it i..."
https://support.grammarly.com/hc/en-us/articles/19810879382285-Grammarly-s-Bug-Resolution-Updates#10,Grammarly's Bug Resolution Updates,Bug Resolution Updates,"Title: Grammarly's Bug Resolution Updates
Category: Bug Resolution Updates

Stay updated with our ongoing commitment to improve! This changelog provides a concise record of the bugs we've addressed in..."
https://support.grammarly.com/hc/en-us/articles/360049254951-I-can-t-join-the-team-There-are-no-available-seats-in-this-organization#11,I can’t join the team: There are no available seats in this organization,Resolve Issues,"Title: I can’t join the team: There are no available seats in this organization
Category: Resolve Issues

This error message indicates that all seats in your organization’s Grammarly subscription have..."
https://support.grammarly.com/hc/en-us/articles/32478363601549-Introducing-the-Effective-Communication-Score#12,Introducing the Effective Communication Score,Team Features,"Title: Introducing the Effective Communication Score
Category: Team Features

Included in:
Grammarly Enterprise plans
Managed by:
Admins and account managers
The Effective Communication Score on the
T..."
https://support.grammarly.com/hc/en-us/articles/36124112455949-Grammarly-for-Windows-or-Grammarly-for-Mac-crashes#13,Grammarly for Windows or Grammarly for Mac crashes,Grammarly for Windows and Mac,"Title: Grammarly for Windows or Grammarly for Mac crashes
Category: Grammarly for Windows and Mac

Important:
Sometimes, this issue can be solved by simply restarting your computer. Make sure that you..."
https://support.grammarly.com/hc/en-us/articles/5321259769357-I-don-t-see-the-full-list-of-suggestions-when-using-the-Grammarly-browser-extension#14,I don’t see the full list of suggestions when using the Grammarly browser extension,Grammarly Browser Extension,"Title: I don’t see the full list of suggestions when using the Grammarly browser extension
Category: Grammarly Browser Extension

The design of the sidebar was changed as a part of a product update. I..."
https://support.grammarly.com/hc/en-us/articles/13109812751117-Can-I-change-how-many-suggestions-I-see-at-a-time#15,Can I change how many suggestions I see at a time?,Grammarly for Windows and Mac,"Title: Can I change how many suggestions I see at a time?
Category: Grammarly for Windows and Mac

As a part of our recent update to Grammarly for Windows and Mac, the view of suggestions in applicati..."
